1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,1,0,0
32,1,1.2439,0.42208
33,1,1.3626,0.31912
34,1,1.2307,0.16609
35,1,1.1098,0.068719
36,2,1.0419,0.022368
37,3,2.2561,0.42675
38,4,3.6082,0.74075
39,7,4.8363,0.90612
40,10,8.4339,1.8194
41,10,12.201,2.4804
42,12,11.943,1.5512
43,15,13.565,1.5751
44,20,16.925,2.1808
45,37,22.931,3.4786
46,43,43.911,9.417
47,61,52.195,9.0327
48,61,72.18,12.749
49,75,71.022,8.0301
50,79,84,9.7091
51,100,87.489,7.5986
52,126,110.65,12.879
53,155,142.62,19.358
54,213,177.38,24.582
55,218,246.27,39.618
56,250,250.72,27.685
57,304,277.51,27.38
58,427,337.84,38.562
59,529,487.31,76.194
60,712,615.36,93.79
61,883,829.36,134.58
62,1071,1030.7,157.22
63,1238,1238.1,174.24
64,2369,1412.2,174.22
65,2693,2776.6,578.06
66,3035,3250.7,542.77
67,3619,3525.2,451.74
68,4247,4093.6,491.35
69,4695,4775.8,556.08
70,5358,5231.4,522
71,6092,5910.9,575.44
72,6857,6711.6,651.89
73,7428,7544.3,713.25
74,8018,8112.9,664.14
75,8430,8659,624.1
76,8904,8998.2,527.44
77,9408.5,9408.5,487.67
